adm-ap-31,adm,21
adm-ap-32,adm,3
adm-ap-34,adm,3
adm-ap-35,adm,3
adm-ap-36,adm,5
adm-ap-38,adm,1
adm-ap-39,adm,9
adm-ap-4,adm,1
adm-ap-42,adm,5
adm-ap-43,adm,16
adm-ap-44,adm,7
adm-ap-45,adm,25
adm-ap-46,adm,1
adm-ap-5,adm,1
adm-ap-7,adm,9
adm-ap-9,adm,2
aes-ap-2,aes,1
aes-ap-5,aes,2
ahf-ap-02,ahf,5
ahf-ap-04,ahf,2
ahf-ap-05,ahf,1
ahf-ap-06,ahf,7
ahf-ap-07,ahf,8
ahf-ap-08,ahf,1
ahf-ap-09,ahf,9
ahf-ap-10,ahf,5
ahf-ap-11,ahf,15
ahf-ap-13,ahf,6
ahf-ap-14,ahf,14
ahf-ap-15,ahf,27
ahf-ap-16,ahf,14
ahf-ap-17,ahf,14
ahf-ap-18,ahf,1
ahf-ap-20,ahf,16
ahf-ap-21,ahf,2
ahf-ap-23,ahf,2
ahf-ap-24,ahf,30
ahf-ap-25,ahf,11
ahf-ap-26,ahf,2
ahf-ap-29,ahf,2
ahf-ap-30,ahf,1
ahf-ap-31,ahf,4
ahf-ap-33,ahf,1
ahf-ap-34,ahf,22
ahf-ap-36,ahf,1
ahf-ap-37,ahf,18
ahf-ap-38,ahf,1
ahf-ap-41,ahf,2
ahf-ap-42,ahf,4
ahf-ap-44,ahf,4
ahf-ap-45,ahf,16
ahn-ap-1,ahn,3
ahn-ap-2,ahn,1
alm-ap-1,alm,1
alm-ap-2,alm,9
alumni-park-ap-1,alumni-park,37
ann-ap-1,ann,1
ann-ap-100,ann,3
ann-ap-104,ann,1
ann-ap-106,ann,9
ann-ap-107,ann,7
ann-ap-11,ann,5
ann-ap-13,ann,6
ann-ap-14,ann,1
ann-ap-17,ann,2
ann-ap-18,ann,1
ann-ap-19,ann,6
ann-ap-2,ann,2
ann-ap-20,ann,1
ann-ap-22,ann,5
ann-ap-24,ann,3
ann-ap-26,ann,1
ann-ap-27,ann,3
ann-ap-29,ann,13
ann-ap-3,ann,2
ann-ap-30,ann,8
ann-ap-31,ann,42
ann-ap-32,ann,11
ann-ap-33,ann,9
ann-ap-36,ann,15
ann-ap-39,ann,2
ann-ap-4,ann,1
ann-ap-40,ann,4
ann-ap-42,ann,1
ann-ap-43,ann,2
ann-ap-48,ann,2
ann-ap-5,ann,6
ann-ap-52,ann,1
ann-ap-53,ann,3
ann-ap-54,ann,1
ann-ap-55,ann,2
ann-ap-57,ann,1
ann-ap-58,ann,1
ann-ap-6,ann,2
ann-ap-60,ann,8
ann-ap-61,ann,3
ann-ap-62,ann,2
ann-ap-63,ann,8
ann-ap-64,ann,12
ann-ap-65,ann,5
ann-ap-66,ann,2
ann-ap-68,ann,2
ann-ap-69,ann,2
ann-ap-7,ann,2
ann-ap-70,ann,2
ann-ap-72,ann,1
ann-ap-73,ann,2
ann-ap-74,ann,2
ann-ap-77,ann,2
ann-ap-79,ann,1
ann-ap-8,ann,5
ann-ap-80,ann,3
ann-ap-81,ann,1
ann-ap-82,ann,2
